"company_id" "name" "country" "category" "sales" "profits" "assets" "marketvalue" "level" "jobfamily" "years_professional_experience" "years_in_position" "sex" "total_compensation" "variable_compensation" "base_salary"
"59" 350 "Allianz Worldwide" "Germany" "Insurance" 96.88 -1.23 851.24 48.07 "Senior" "Sales" 18 10 "Female" 105450 20591 84859
"60" 350 "Allianz Worldwide" "Germany" "Insurance" 96.88 -1.23 851.24 48.07 "Senior" "IT" 23 20 "Male" 110515 9649 100866
"61" 363 "Erste Bank" "Austria" "Banking" 7.5 0.27 126.93 8.12 "Senior" "Sales" 12 3 "Male" 117150 17651 99499
"62" 363 "Erste Bank" "Austria" "Banking" 7.5 0.27 126.93 8.12 "Expert" "Sales" 12 11 "Male" 103760 18473 85287
"63" 363 "Erste Bank" "Austria" "Banking" 7.5 0.27 126.93 8.12 "Senior" "Sales" 38 38 "Male" 166024 34397 131627
"64" 363 "Erste Bank" "Austria" "Banking" 7.5 0.27 126.93 8.12 "Expert" "IT" 10 8 "Female" 77500 4363 73137
"65" 363 "Erste Bank" "Austria" "Banking" 7.5 0.27 126.93 8.12 "Senior" "Sales" 19 19 "Male" 151575 25617 125958
"66" 363 "Erste Bank" "Austria" "Banking" 7.5 0.27 126.93 8.12 "Junior" "Sales" 4 3 "Male" 91000 16853 74147
"67" 363 "Erste Bank" "Austria" "Banking" 7.5 0.27 126.93 8.12 "Senior" "IT" 29 7 "Male" 204000 24206 179794
"68" 363 "Erste Bank" "Austria" "Banking" 7.5 0.27 126.93 8.12 "Senior" "IT" 29 27 "Male" 150500 10804 139696
"69" 363 "Erste Bank" "Austria" "Banking" 7.5 0.27 126.93 8.12 "Senior" "Sales" 37 37 "Male" 151650 30661 120989
"70" 363 "Erste Bank" "Austria" "Banking" 7.5 0.27 126.93 8.12 "Senior" "IT" 15 10 "Male" 115435 6356 109079
"71" 368 "Holcim" "Switzerland" "Construction" 9.42 0.37 18.62 10.27 "Senior" "IT" 37 23 "Male" 124750 8138 116612
"72" 368 "Holcim" "Switzerland" "Construction" 9.42 0.37 18.62 10.27 "Expert" "Sales" 9 8 "Male" 90215 23443 66772
"73" 368 "Holcim" "Switzerland" "Construction" 9.42 0.37 18.62 10.27 "Expert" "Sales" 17 12 "Male" 95611 15913 79698
"74" 368 "Holcim" "Switzerland" "Construction" 9.42 0.37 18.62 10.27 "Senior" "IT" 20 18 "Male" 136000 11643 124357
"75" 368 "Holcim" "Switzerland" "Construction" 9.42 0.37 18.62 10.27 "Expert" "Sales" 17 6 "Male" 105000 22760 82240
"76" 368 "Holcim" "Switzerland" "Construction" 9.42 0.37 18.62 10.27 "Senior" "Sales" 26 19 "Male" 126200 18511 107689
"77" 368 "Holcim" "Switzerland" "Construction" 9.42 0.37 18.62 10.27 "Senior" "IT" 31 12 "Male" 132000 7675 124325
"78" 368 "Holcim" "Switzerland" "Construction" 9.42 0.37 18.62 10.27 "Senior" "IT" 32 28 "Male" 168500 13329 155171
"79" 368 "Holcim" "Switzerland" "Construction" 9.42 0.37 18.62 10.27 "Senior" "Sales" 49 60 "Male" 192253 64058 128195
"80" 368 "Holcim" "Switzerland" "Construction" 9.42 0.37 18.62 10.27 "Senior" "IT" 33 31 "Male" 134690 8160 126530
"81" 405 "Zurich Financial Services" "Switzerland" "Insurance" 47.46 -3.96 263.85 21.83 "Expert" "IT" 13 8 "Female" 74830 5955 68875
"82" 405 "Zurich Financial Services" "Switzerland" "Insurance" 47.46 -3.96 263.85 21.83 "Expert" "Sales" 11 11 "Female" 103613 9885 93728
"83" 405 "Zurich Financial Services" "Switzerland" "Insurance" 47.46 -3.96 263.85 21.83 "Senior" "Sales" 16 5 "Male" 153303 33111 120192
"84" 405 "Zurich Financial Services" "Switzerland" "Insurance" 47.46 -3.96 263.85 21.83 "Expert" "IT" 15 10 "Male" 81500 9115 72385
"85" 405 "Zurich Financial Services" "Switzerland" "Insurance" 47.46 -3.96 263.85 21.83 "Senior" "Sales" 11 11 "Male" 142467 42769 99698
"86" 405 "Zurich Financial Services" "Switzerland" "Insurance" 47.46 -3.96 263.85 21.83 "Senior" "Sales" 13 11 "Male" 119500 20293 99207
"87" 405 "Zurich Financial Services" "Switzerland" "Insurance" 47.46 -3.96 263.85 21.83 "Junior" "IT" 9 3 "Male" 73800 5915 67885
"88" 405 "Zurich Financial Services" "Switzerland" "Insurance" 47.46 -3.96 263.85 21.83 "Senior" "IT" 17 11 "Male" 148800 11401 137399
"89" 405 "Zurich Financial Services" "Switzerland" "Insurance" 47.46 -3.96 263.85 21.83 "Senior" "Sales" 35 23 "Male" 98053 17659 80394
"90" 405 "Zurich Financial Services" "Switzerland" "Insurance" 47.46 -3.96 263.85 21.83 "Senior" "IT" 28 26 "Male" 103649 10363 93286
"91" 431 "HVB-HypoVereinsbank" "Germany" "Banking" 40.52 -0.87 705.36 14.49 "Senior" "Sales" 12 8 "Male" 118223 30736 87487
"92" 431 "HVB-HypoVereinsbank" "Germany" "Banking" 40.52 -0.87 705.36 14.49 "Senior" "Sales" 17 17 "Female" 111512 20919 90593
"93" 431 "HVB-HypoVereinsbank" "Germany" "Banking" 40.52 -0.87 705.36 14.49 "Expert" "IT" 10 8 "Male" 82600 11201 71399
"94" 431 "HVB-HypoVereinsbank" "Germany" "Banking" 40.52 -0.87 705.36 14.49 "Junior" "Sales" 4 4 "Male" 92000 20511 71489
"95" 431 "HVB-HypoVereinsbank" "Germany" "Banking" 40.52 -0.87 705.36 14.49 "Senior" "Sales" 33 30 "Male" 134000 30464 103536
"96" 431 "HVB-HypoVereinsbank" "Germany" "Banking" 40.52 -0.87 705.36 14.49 "Senior" "IT" 38 35 "Male" 87800 6920 80880
"97" 431 "HVB-HypoVereinsbank" "Germany" "Banking" 40.52 -0.87 705.36 14.49 "Senior" "IT" 31 31 "Male" 126000 16639 109361
"98" 431 "HVB-HypoVereinsbank" "Germany" "Banking" 40.52 -0.87 705.36 14.49 "Senior" "IT" 28 13 "Male" 170500 17233 153267
"99" 431 "HVB-HypoVereinsbank" "Germany" "Banking" 40.52 -0.87 705.36 14.49 "Senior" "Sales" 17 17 "Female" 124312 21402 102910
"100" 431 "HVB-HypoVereinsbank" "Germany" "Banking" 40.52 -0.87 705.36 14.49 "Junior" "IT" 8 3 "Male" 75996 15923 60073
"101" 560 "Linde" "Germany" "Capital goods" 9.17 0.25 12.67 6.61 "Senior" "IT" 21 8 "Male" 106294 10659 95635
"102" 560 "Linde" "Germany" "Capital goods" 9.17 0.25 12.67 6.61 "Junior" "Sales" 4 3 "Male" 68404 6410 61994
"103" 560 "Linde" "Germany" "Capital goods" 9.17 0.25 12.67 6.61 "Senior" "Sales" 20 14 "Female" 127512 25791 101721
"104" 560 "Linde" "Germany" "Capital goods" 9.17 0.25 12.67 6.61 "Senior" "IT" 19 11 "Male" 106608 12669 93939
"105" 560 "Linde" "Germany" "Capital goods" 9.17 0.25 12.67 6.61 "Senior" "Sales" 18 5 "Male" 141136 27665 113471
"106" 560 "Linde" "Germany" "Capital goods" 9.17 0.25 12.67 6.61 "Senior" "Sales" 21 21 "Male" 170000 31101 138899
"107" 560 "Linde" "Germany" "Capital goods" 9.17 0.25 12.67 6.61 "Senior" "IT" 32 30 "Male" 92550 7652 84898
"108" 560 "Linde" "Germany" "Capital goods" 9.17 0.25 12.67 6.61 "Senior" "IT" 49 43 "Male" 72300 10489 61811
"109" 560 "Linde" "Germany" "Capital goods" 9.17 0.25 12.67 6.61 "Senior" "Sales" 13 12 "Male" 145000 40525 104475
"110" 560 "Linde" "Germany" "Capital goods" 9.17 0.25 12.67 6.61 "Junior" "IT" 4 1 "Male" 74856 5175 69681
"111" 572 "Vattenfall Europe" "Germany" "Utilities" 9.31 0.2 17.55 5.78 "Junior" "Sales" 1 1 "Male" 77700 13286 64414
"112" 572 "Vattenfall Europe" "Germany" "Utilities" 9.31 0.2 17.55 5.78 "Senior" "Sales" 12 11 "Male" 108875 14417 94458
"113" 572 "Vattenfall Europe" "Germany" "Utilities" 9.31 0.2 17.55 5.78 "Junior" "Sales" 10 5 "Female" 97032 34909 62123
"114" 572 "Vattenfall Europe" "Germany" "Utilities" 9.31 0.2 17.55 5.78 "Junior" "IT" 4 2 "Male" 73000 6271 66729
"115" 572 "Vattenfall Europe" "Germany" "Utilities" 9.31 0.2 17.55 5.78 "Expert" "Sales" 8 6 "Male" 101210 14118 87092
"116" 572 "Vattenfall Europe" "Germany" "Utilities" 9.31 0.2 17.55 5.78 "Senior" "Sales" 18 18 "Male" 120000 20879 99121
"117" 572 "Vattenfall Europe" "Germany" "Utilities" 9.31 0.2 17.55 5.78 "Senior" "IT" 30 23 "Male" 91100 5526 85574
"118" 572 "Vattenfall Europe" "Germany" "Utilities" 9.31 0.2 17.55 5.78 "Expert" "IT" 49 49 "Male" 81800 11626 70174
"119" 572 "Vattenfall Europe" "Germany" "Utilities" 9.31 0.2 17.55 5.78 "Senior" "Sales" 30 31 "Male" 162221 20859 141362
"120" 572 "Vattenfall Europe" "Germany" "Utilities" 9.31 0.2 17.55 5.78 "Expert" "IT" 20 17 "Male" 81285 4575 76710
"121" 593 "Syngenta" "Switzerland" "Chemicals" 7.08 0.29 9.86 7.32 "Junior" "Sales" 7 2 "Male" 79916 6410 73506
"122" 593 "Syngenta" "Switzerland" "Chemicals" 7.08 0.29 9.86 7.32 "Senior" "Sales" 17 2 "Male" 126320 23762 102558
"123" 593 "Syngenta" "Switzerland" "Chemicals" 7.08 0.29 9.86 7.32 "Senior" "IT" 40 31 "Male" 131205 11830 119375
"124" 593 "Syngenta" "Switzerland" "Chemicals" 7.08 0.29 9.86 7.32 "Senior" "Sales" 36 26 "Female" 144651 29653 114998
"125" 593 "Syngenta" "Switzerland" "Chemicals" 7.08 0.29 9.86 7.32 "Senior" "Sales" 18 10 "Male" 107500 34663 72837
"126" 593 "Syngenta" "Switzerland" "Chemicals" 7.08 0.29 9.86 7.32 "Junior" "IT" 3 1 "Male" 63900 7567 56333
"127" 593 "Syngenta" "Switzerland" "Chemicals" 7.08 0.29 9.86 7.32 "Senior" "IT" 36 30 "Male" 134800 7851 126949
"128" 593 "Syngenta" "Switzerland" "Chemicals" 7.08 0.29 9.86 7.32 "Senior" "IT" 46 44 "Male" 144050 12333 131717
"129" 593 "Syngenta" "Switzerland" "Chemicals" 7.08 0.29 9.86 7.32 "Senior" "Sales" 31 31 "Male" 162150 31375 130775
"130" 593 "Syngenta" "Switzerland" "Chemicals" 7.08 0.29 9.86 7.32 "Expert" "IT" 8 5 "Male" 86895 7110 79785
"131" 633 "Merck" "Germany" "Drugs & biotechnology" 7.85 0.21 7.69 9.06 "Junior" "Sales" 5 0 "Female" 77000 28521 48479
"132" 633 "Merck" "Germany" "Drugs & biotechnology" 7.85 0.21 7.69 9.06 "Senior" "Sales" 28 23 "Male" 113398 18507 94891
"133" 633 "Merck" "Germany" "Drugs & biotechnology" 7.85 0.21 7.69 9.06 "Senior" "IT" 37 37 "Male" 104279 8290 95989
"134" 633 "Merck" "Germany" "Drugs & biotechnology" 7.85 0.21 7.69 9.06 "Senior" "Sales" 21 9 "Male" 111168 25169 85999
"135" 633 "Merck" "Germany" "Drugs & biotechnology" 7.85 0.21 7.69 9.06 "Senior" "Sales" 43 22 "Male" 133700 25436 108264
"136" 633 "Merck" "Germany" "Drugs & biotechnology" 7.85 0.21 7.69 9.06 "Senior" "IT" 29 27 "Female" 91000 6794 84206
"137" 633 "Merck" "Germany" "Drugs & biotechnology" 7.85 0.21 7.69 9.06 "Senior" "IT" 13 7 "Male" 103700 10340 93360
"138" 633 "Merck" "Germany" "Drugs & biotechnology" 7.85 0.21 7.69 9.06 "Junior" "IT" 5 0 "Male" 74000 10133 63867
"139" 633 "Merck" "Germany" "Drugs & biotechnology" 7.85 0.21 7.69 9.06 "Senior" "Sales" 39 33 "Male" 128250 40998 87252
"140" 633 "Merck" "Germany" "Drugs & biotechnology" 7.85 0.21 7.69 9.06 "Senior" "IT" 29 27 "Male" 139219 12539 126680
"141" 700 "Swiss Life Holding" "Switzerland" "Insurance" 15.75 -1.23 113.34 4.26 "Junior" "Sales" 4 3 "Male" 79750 20013 59737
"142" 700 "Swiss Life Holding" "Switzerland" "Insurance" 15.75 -1.23 113.34 4.26 "Expert" "Sales" 23 23 "Male" 93418 11557 81861
"143" 700 "Swiss Life Holding" "Switzerland" "Insurance" 15.75 -1.23 113.34 4.26 "Senior" "Sales" 43 28 "Male" 150743 33093 117650
"144" 700 "Swiss Life Holding" "Switzerland" "Insurance" 15.75 -1.23 113.34 4.26 "Junior" "IT" 5 3 "Female" 73500 9182 64318
"145" 700 "Swiss Life Holding" "Switzerland" "Insurance" 15.75 -1.23 113.34 4.26 "Expert" "Sales" 6 6 "Male" 95408 8707 86701
"146" 700 "Swiss Life Holding" "Switzerland" "Insurance" 15.75 -1.23 113.34 4.26 "Junior" "Sales" 4 4 "Male" 92000 14763 77237
"147" 700 "Swiss Life Holding" "Switzerland" "Insurance" 15.75 -1.23 113.34 4.26 "Senior" "IT" 25 25 "Male" 114000 6203 107797
"148" 700 "Swiss Life Holding" "Switzerland" "Insurance" 15.75 -1.23 113.34 4.26 "Senior" "IT" 12 6 "Male" 93000 6567 86433
"149" 700 "Swiss Life Holding" "Switzerland" "Insurance" 15.75 -1.23 113.34 4.26 "Senior" "IT" 22 6 "Male" 146800 12293 134507
"150" 700 "Swiss Life Holding" "Switzerland" "Insurance" 15.75 -1.23 113.34 4.26 "Senior" "Sales" 22 20 "Male" 138000 35999 102001
"151" 700 "Swiss Life Holding" "Switzerland" "Insurance" 15.75 -1.23 113.34 4.26 "Senior" "IT" 33 30 "Male" 103106 12313 90793
"152" 720 "OMV Group" "Austria" "Oil & gas operations" 7.44 0.33 6.3 4.45 "Senior" "Sales" 19 20 "Male" 101000 30681 70319
"153" 720 "OMV Group" "Austria" "Oil & gas operations" 7.44 0.33 6.3 4.45 "Expert" "Sales" 14 5 "Male" 83900 10731 73169
"154" 720 "OMV Group" "Austria" "Oil & gas operations" 7.44 0.33 6.3 4.45 "Senior" "Sales" 21 20 "Male" 123683 20530 103153
"155" 720 "OMV Group" "Austria" "Oil & gas operations" 7.44 0.33 6.3 4.45 "Junior" "IT" 3 1 "Female" 72500 3759 68741
"156" 720 "OMV Group" "Austria" "Oil & gas operations" 7.44 0.33 6.3 4.45 "Senior" "Sales" 37 24 "Male" 93164 14148 79016
"157" 720 "OMV Group" "Austria" "Oil & gas operations" 7.44 0.33 6.3 4.45 "Senior" "Sales" 39 39 "Male" 111350 18180 93170
"158" 720 "OMV Group" "Austria" "Oil & gas operations" 7.44 0.33 6.3 4.45 "Senior" "IT" 39 39 "Male" 109000 7641 101359
"159" 720 "OMV Group" "Austria" "Oil & gas operations" 7.44 0.33 6.3 4.45 "Junior" "IT" 8 5 "Male" 74000 8231 65769
"160" 720 "OMV Group" "Austria" "Oil & gas operations" 7.44 0.33 6.3 4.45 "Expert" "Sales" 10 10 "Male" 99247 13465 85782
"161" 720 "OMV Group" "Austria" "Oil & gas operations" 7.44 0.33 6.3 4.45 "Expert" "IT" 10 1 "Male" 108413 8343 100070
"162" 747 "Beiersdorf" "Germany" "Household & personal products" 5.88 0.38 3.44 9.94 "Senior" "IT" 36 31 "Male" 102580 14839 87741
"163" 747 "Beiersdorf" "Germany" "Household & personal products" 5.88 0.38 3.44 9.94 "Expert" "Sales" 9 8 "Male" 90304 21089 69215
"164" 747 "Beiersdorf" "Germany" "Household & personal products" 5.88 0.38 3.44 9.94 "Senior" "Sales" 41 26 "Male" 106689 17663 89026
"165" 747 "Beiersdorf" "Germany" "Household & personal products" 5.88 0.38 3.44 9.94 "Expert" "IT" 10 7 "Male" 73877 7107 66770
"166" 747 "Beiersdorf" "Germany" "Household & personal products" 5.88 0.38 3.44 9.94 "Expert" "Sales" 13 9 "Male" 100944 16234 84710
"167" 747 "Beiersdorf" "Germany" "Household & personal products" 5.88 0.38 3.44 9.94 "Senior" "Sales" 15 11 "Male" 146000 35408 110592
"168" 747 "Beiersdorf" "Germany" "Household & personal products" 5.88 0.38 3.44 9.94 "Expert" "IT" 12 8 "Male" 83000 4530 78470
"169" 747 "Beiersdorf" "Germany" "Household & personal products" 5.88 0.38 3.44 9.94 "Senior" "IT" 19 7 "Male" 107300 11956 95344
"170" 747 "Beiersdorf" "Germany" "Household & personal products" 5.88 0.38 3.44 9.94 "Senior" "Sales" 33 19 "Male" 145098 23196 121902
"171" 747 "Beiersdorf" "Germany" "Household & personal products" 5.88 0.38 3.44 9.94 "Senior" "IT" 12 7 "Male" 109707 9496 100211
"172" 926 "Bankgesellschaft Berlin" "Germany" "Banking" 9.43 -0.74 182.69 2.3 "Senior" "Sales" 21 20 "Male" 119250 11904 107346
"173" 926 "Bankgesellschaft Berlin" "Germany" "Banking" 9.43 -0.74 182.69 2.3 "Senior" "Sales" 23 19 "Female" 151768 30329 121439
"174" 926 "Bankgesellschaft Berlin" "Germany" "Banking" 9.43 -0.74 182.69 2.3 "Senior" "Sales" 37 37 "Male" 152708 51796 100912
"175" 926 "Bankgesellschaft Berlin" "Germany" "Banking" 9.43 -0.74 182.69 2.3 "Senior" "IT" 54 49 "Male" 78162 6344 71818
"176" 926 "Bankgesellschaft Berlin" "Germany" "Banking" 9.43 -0.74 182.69 2.3 "Junior" "Sales" 1 0 "Male" 88795 12322 76473
"177" 926 "Bankgesellschaft Berlin" "Germany" "Banking" 9.43 -0.74 182.69 2.3 "Senior" "Sales" 17 17 "Male" 152500 30476 122024
"178" 926 "Bankgesellschaft Berlin" "Germany" "Banking" 9.43 -0.74 182.69 2.3 "Senior" "IT" 38 37 "Male" 102600 10109 92491
"179" 926 "Bankgesellschaft Berlin" "Germany" "Banking" 9.43 -0.74 182.69 2.3 "Senior" "IT" 37 27 "Male" 103600 9105 94495
"180" 926 "Bankgesellschaft Berlin" "Germany" "Banking" 9.43 -0.74 182.69 2.3 "Senior" "Sales" 24 23 "Male" 104428 33828 70600
"181" 926 "Bankgesellschaft Berlin" "Germany" "Banking" 9.43 -0.74 182.69 2.3 "Junior" "IT" 11 4 "Male" 78785 7107 71678
"182" 1165 "Synthes-Stratec" "Switzerland" "Health care equipment & services" 1.13 0.28 1.53 11.54 "Senior" "IT" 34 30 "Male" 93904 8069 85835
"183" 1165 "Synthes-Stratec" "Switzerland" "Health care equipment & services" 1.13 0.28 1.53 11.54 "Junior" "Sales" 3 2 "Male" 75243 14196 61047
"184" 1165 "Synthes-Stratec" "Switzerland" "Health care equipment & services" 1.13 0.28 1.53 11.54 "Senior" "Sales" 42 25 "Male" 133217 21446 111771
"185" 1165 "Synthes-Stratec" "Switzerland" "Health care equipment & services" 1.13 0.28 1.53 11.54 "Senior" "IT" 21 18 "Male" 152664 17075 135589
"186" 1165 "Synthes-Stratec" "Switzerland" "Health care equipment & services" 1.13 0.28 1.53 11.54 "Senior" "Sales" 27 14 "Male" 147349 38515 108834
